standard_code,raw_title,summary_heading_present,scope_present,is_mentions,classification,notes
IS 1659: 2004,BLOCK BOARDS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1834: 1984,HOT APPLIED SEALING COMPOUNDS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1863: 1979,ROLLED  STEEL BULB FLATS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1977: 1996,LOW TENSILE STRUCTURAL  STEEL,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2046: 1995,DECORATIVE THERMOSETTING SYNTHETIC,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2062: 1999,STEEL FOR GENERAL STRUCTURAL PURPOSES,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2095 (Part 1): 1996,GYPSUM PLASTER BOARDS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2095 (Part 3): 1996,GYPSUM PLASTER BOARDS,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2096: 1992,ASBESTOS CEMENT FLAT SHEETS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 212: 1983,CRUDE COAL TAR FOR GENERAL USE,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2140: 1978,STRANDED GALVANIZED STEEL WIRE FOR,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 215: 1995,ROAD TAR,True,True,10,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 216: 1961,COAL TAR PITCH,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 218: 1983,CREOSOTE OIL FOR USE AS WOOD,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2191 (Part 2): 1983,WOODEN FLUSH DOOR SHUTTERS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2373: 1981,WATER METERS (BULK TYPE),True,True,46,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2412: 1975,LINK CLIPS FOR ELECTRICAL WIRING,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2501: 1995,SOLID DRAWN COPPER TUBES,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2585: 1968,BLACK SQUARE BOLTS AND NUTS,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2678: 1987,DIMENSIONS AND  TOLERANCE FOR WROUGHT,True,True,19,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2687: 1991,CAP NUTS,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2721: 1979,GALVANIZED STEEL CHAIN  LINK FENCE  FABRIC,True,True,18,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 277: 2003,GALVANIZED STEEL SHEETS,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 278: 1978,GALVANIZED STEEL BARBED WIRE FOR FENCING,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2907: 1998,NON-FERROUS RIVETS (1.6 TO 10 mm),True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 2998: 1982,COLD FORGED STEEL RIVETS FOR COLD,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3037: 1986,BITUMEN MASTIC FOR USE IN,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3063: 1994,FASTENERS-SINGLE COIL RECTANGULAR,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3068: 1986,BROKEN BRICK (BURNT CLAY) COARSE,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3121: 1981,RIGGING SCREWS AND STRETCHING SCREWS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3182: 1986,BROKEN BRICK (BURNT CLAY),True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3311: 1979,WASTE PLUG AND ITS ACCESSORIES FOR SINKS,True,True,10,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3316: 1974,STRUCTURAL GRANITE,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3384: 1986,BITUMEN PRIMER FOR USE IN,True,True,9,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3462: 1986,UNBACKED FLEXIBLE PVC FLOORING,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3468: 1991,PIPE NUTS,True,True,10,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3502: 1994,STEEL CHEQUERED PLATES,True,True,11,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3589: 2001,SEAMLESS OR ELECTRICALLY WELDED STEEL,True,True,2,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3622: 1977,SANDSTONE (SLABS AND TILES),True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3629: 1986,STRUCTURAL TIMBER IN BUILDINGS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3709: 1966,MASTIC CEMENT FOR BEDDING OF,True,True,18,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 3757: 1985,HIGH STRENGTH STRUCTURAL BOLTS,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 4021: 1995,"TIMBER DOOR, WINDOW AND VENTILATOR",True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 4098: 1983,LIME POZZOLANA MIXTURE,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 419: 1967,"PUTTY, FOR USE ON WINDOW FRAMES",True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 432 (Part 1): 1982,MILD STEEL AND MEDIUM  TENSILE,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 454: 1994,CUTBACK  BITUMEN FROM WAXY CRUDE,True,True,9,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 455: 1989,PORTLAND SLAG CEMENT,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 4923: 1997,HOLLOW STEEL SECTIONS  FOR STRUCTURAL,True,True,15,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 4984: 1995,HIGH DENSITY POLYETHYLENE PIPES,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 4985: 2000,UNPLASTICIZED PVC PIPES FOR POTABLE,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 4990: 1993,PLYWOOD FOR CONCRETE SHUTTERING WORK,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 513: 1994,COLD ROLLED LOW CARBON STEEL,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 5317: 2002,BITUMEN MASTIC FOR  BRIDGE,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 5437: 1994,"FIGURED, ROLLED AND WIRED GLASS",True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 5504: 1997,SPIRAL WELDED PIPES,True,True,3,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 5509: 2000,FIRE RETARDANT PLYWOOD,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 5539: 1969,PRESERVATIVE TREATED PLYWOOD,True,True,11,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 5624: 1993,FOUNDATION BOLTS,True,True,12,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 5871: 1987,BITUMEN MASTIC FOR,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 6165: 1992,DIMENSIONS FOR SPECIAL SHAPES OF CLAY,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 6250: 1981,ROOFING SLATE TILES,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 653: 1992,LINOLEUM SHEET  AND TILES,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 6579: 1981,COARSE AGGREGATE FOR WATER BOUND,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 6623: 2004,HIGH STRENGTH STRUCTURAL NUTS,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 6639: 1972,HEXAGON BOLTS FOR STEEL STRUCTURES,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 6649: 1985,HARDENED AND TEMPERED WASHERS FOR HIGH,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 702: 1988,INDUSTRIAL BITUMEN,True,True,9,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 7098 (Part 1): 1988,CROSSLINKED POLYETHYLENE,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 7280: 1974,BARE WIRE ELECTRODES FOR SUBMERGED ARC,True,True,2,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 730: 1978,HOOK BOLTS FOR CORRUGATED SHEET ROOFING,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 7322: 1985,SPECIALS FOR STEEL CYLINDER REINFORCED,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 73: 1992,PAVING BITUMEN,True,True,15,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 7509: 1993,THERMAL INSULATING CEMENT,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 771 (Part 2): 1985,GLAZED FIRE – CLAY SANITARY,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 7834 (Part 8): 1987,- INJECTION MOULDED PVC SOCKET,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 784: 2001,PRESTRESSED CONCRETE PIPES,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8008 (Part 1): 2003,INJECTION MOULDED HIGH DENSITY,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8008 (Part 7): 2003,INJECTION MOULDED HIGH DENSITY,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8033: 1976,WASHERS WITH SQUARE HOLE FOR WOOD,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8041: 1990,RAPID HARDENING PORTLAND CEMENT,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8042: 1989,WHITE  PORTLAND CEMENT,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 809: 1992,RUBBER FLOORING MATERIALS,True,True,13,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 811: 1987,COLD FORMED LIGHT GAUGE STRUCTURAL STEEL,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 814: 2004,COVERED ELECTRODES FOR MANUAL METAL ARC,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8154: 1993,PREORMED CALCIUM SILICATE INSULATION,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8183: 1993,BONDED MINERAL WOOL,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8272: 1984,GYPSUM PLASTER FOR USE IN THE,True,True,19,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8329: 2000,CENTRIFUGALLY CAST (SPUN) DUCTILE IRON,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8360 (Part 1): 1977,FABRICATED HIGH DENSITY,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8360 (Part 3): 1977,FABRICATED HIGH  DENSITY POLYETHYLENE,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8363: 1976,BARE WIRE ELECTRODES FOR ELECTROSLAG,True,True,43,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 8374: 1977,"BITUMEN MASTIC, ANTI-STATIC AND",True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 852: 1994,ANIMAL GLUE FOR GENERAL WOOD-WORKING,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9142: 1979,ARTIFICIAL LIGHTWEIGHT AGGREGATES FOR,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9197: 1979,"EPOXY RESIN, HARDENERS AND EPOXY",True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9394: 1979,STONE LINTELS,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9428: 1993,PREFORMED CALCIUM SILICATE INSULATION,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9510: 1980,"BITUMEN MASTIC, ACID – RESISTING GRADE",True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9627: 1980,ASBESTOS CEMENT PRESSURE PIPES,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9742: 1993,SPRAYED MINERAL WOOL THERMAL INSULATION,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9743: 1990,THERMAL INSULATION FINISHING CEMENTS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9842: 1994,PREFORMED FIBROUS PIPE INSULATION,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9912: 1981,COAL TAR BASED COATING MATERIALS AND,True,True,33,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 9968 (Part 1): 1998,"ELASTOMER INSULATED CABLES,",True,True,34,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
