standard_code,raw_title,canonical_title_expanded,standard_kind,old_canonical_product,new_canonical_product,product_subtype,primary_subject,material,application,function,applies_to_product_families,confidence,evidence,resolution_status,review_required,notes
IS 1149: 1982,HIGH  TENSILE STEEL RIVETS BARS,HIGH TENSILE STEEL RIVETS BARS FOR STRUCTURAL PURPOSES,material_standard,,rivet,,HIGH TENSILE STEEL RIVETS BARS FOR STRUCTURAL PURPOSES,steel,,structural_fastening,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""scope""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 11587: 1986,STRUCTURAL WEATHER RESISTANCE STEELS,"STRUCTURAL WEATHER RESISTANCE STEELS 1. Scope – Requirements for high strength low alloy weather resistant structural steels in the form of plates, strips, sections and bars for welded, riveted or bolted",material_standard,,valve,,"STRUCTURAL WEATHER RESISTANCE STEELS 1. Scope – Requirements for high strength low alloy weather resistant structural steels in the form of plates, strips, sections and bars for welded, riveted or bolted",steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1173: 1978,HOT ROLLED AND SLIT STEEL TEE BARS,,material_standard,,pipe_fitting,tee,tee,steel,,,pipe_water_drainage; steel,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""], ""product_subtype"": [""title"", ""full_text_summary_heading""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1195: 2002,BITUMEN MASTIC FOR FLOORING,,material_standard,,aggregate,,BITUMEN MASTIC FOR FLOORING,bitumen,flooring,flooring,concrete_material,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12027: 1987,SILICONE-BASED WATER REPELLENTS,,product_standard,,cement,,SILICONE-BASED WATER REPELLENTS,clay,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 12118 (Part 1): 1987,TWO-PARTS POLYSULPHIDE BASED,TWO-PARTS POLYSULPHIDE BASED SEALANTS PART 1 GENERAL REQUIREMENTS the original profile in a horizontal position. 4.2 Plastic Deformation— The sealant shall have a,product_standard,,sealant,,TWO-PARTS POLYSULPHIDE BASED SEALANTS PART 1 GENERAL REQUIREMENTS the original profile in a horizontal position. 4.2 Plastic Deformation— The sealant shall have a,clay,,,sealant,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,material_standard,,steel_sheet,,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,steel,roofing,roofing,steel,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""scope""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12406: 2003,MEDIUM DENSITY FIBRE BOARDS FOR,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,product_standard,,board,,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12440: 1988,PRECAST CONCRETE STONE MASONRY BLOCKS,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required",material_standard,,block,,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcem",concrete,,,masonry_unit; stone,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1254: 1991,CORRUGATED ALUMINIUM SHEET,,material_standard,,roofing_sheet,,CORRUGATED ALUMINIUM SHEET,aluminium,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,,material_standard,,roofing_sheet,,CORRUGATED BITMEN ROOFING SHEETS ± ± ± ±,bitumen,roofing,roofing,roofing,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,material_standard,,water_tank,,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,,door and window construction,,water_storage,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12778: 2004,HOT ROLLED PARALLEL FLANGE STEEL SECTION,"HOT ROLLED PARALLEL FLANGE STEEL SECTION FOR BEAMS, COLUMNS AND BEARING PILES DIMENSIONS AND SECTION PROPERTIES",material_standard,,steel_section,,"HOT ROLLED PARALLEL FLANGE STEEL SECTION FOR BEAMS, COLUMNS AND BEARING PILES DIMENSIONS AND SECTION PROPERTIES",cast iron,,,steel,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1278: 1972,FILLER RODS FOR GAS WELDING,,material_standard,,rod,,FILLER RODS FOR GAS WELDING,cast iron,,,coating; welding,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12817: 1997,STAINLESS STEEL BUTT HINGES,,material_standard,,hinge,,STAINLESS STEEL BUTT HINGES,steel,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12823: 1990,WOOD PRODUCTS-PRELAMINATED,WOOD PRODUCTS-PRELAMINATED PARTICLES BOARDS 3.3 Impregnated Overlay—An absorbent tissue paper having a weight of 18-40 g/m2 impregnated in a suitable synthetic resin and dried to a volatile content of 4-8,other,,board,,WOOD PRODUCTS-PRELAMINATED PARTICLES BOARDS 3.3 Impregnated Overlay—An absorbent tissue paper having a weight of 18-40 g/m2 impregnated in a suitable synthetic resin and dried to a volatile content of 4-8,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12830: 1989,RUBBER BASED ADHESIVE FOR FIXING PVC,RUBBER BASED ADHESIVE FOR FIXING PVC TILES TO CEMENT 1. Scope – Requirements and the methods of sampling and test for rubber based adhesives used for bonding,installation,,,,RUBBER BASED ADHESIVE FOR FIXING PVC TILES TO CEMENT 1. Scope – Requirements and the methods of sampling and test for rubber based adhesives used for bonding,PVC,,,adhesive; cement; tile,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 12866: 1989,PLASTIC TRANSLUCENT SHEET MADE,PLASTIC TRANSLUCENT SHEET MADE FROM THERMOSETTING POLYESTER RESIN,other,,glass,,PLASTIC TRANSLUCENT SHEET MADE FROM THERMOSETTING POLYESTER RESIN,steel,,,glass,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12867: 1989,PVC HAND RAIL COVERS,,product_standard,,handrail,,PVC HAND RAIL COVERS,PVC,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12894: 2002,PULVERIZED FUEL ASH-LIME BRICKS,,product_standard,,brick,,PULVERIZED FUEL ASH-LIME BRICKS,clay,roofing,,masonry_unit,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12896: 1990,INDIAN TIMBERS FOR DOOR AND,INDIAN TIMBERS FOR DOOR AND WINDOW SHUTTERS AND FRAMES – CLASSIFICATION,material_standard,,door,,INDIAN TIMBERS FOR DOOR AND WINDOW SHUTTERS AND FRAMES – CLASSIFICATION,timber,door and window construction,,door_window; timber,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1293: 1988,PLUGS AND SOCKET-OUTLETS – RATED,PLUGS AND SOCKET-OUTLETS – RATED VOLTAGE UPTO AND INCLUDING 250 VOLTS AND RATED CURRENT UPTO AND INCLUDING 16 AMPERES,product_standard,,plug_socket,,PLUGS AND SOCKET-OUTLETS – RATED VOLTAGE UPTO AND INCLUDING 250 VOLTS AND RATED CURRENT UPTO AND INCLUDING 16 AMPERES,steel,thermal insulation,,electrical; pipe_water_drainage,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 12994: 1990,"EPOXY ADHESIVES, ROOM TEMPERATURE","EPOXY ADHESIVES, ROOM TEMPERATURE CURING, GENERAL PURPOSE",product_standard,,adhesive,,"EPOXY ADHESIVES, ROOM TEMPERATURE CURING, GENERAL PURPOSE",,,,adhesive,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 13026: 1991,BITUMEN MASTIC FOR FLOORING FOR,BITUMEN MASTIC FOR FLOORING FOR INDUSTRIES HANDLING LPG AND OTHER LIGHT HYDROCARBON PRODUCTS,material_standard,,aggregate,,BITUMEN MASTIC FOR FLOORING FOR INDUSTRIES HANDLING LPG AND OTHER LIGHT HYDROCARBON PRODUCTS,bitumen,flooring,flooring,,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1322: 1993,BITUMEN FELTS FOR WATER–PROOFING,BITUMEN FELTS FOR WATER–PROOFING AND DAMP–PROOFING,product_standard,,waterproofing_membrane,,BITUMEN FELTS FOR WATER–PROOFING AND DAMP–PROOFING,bitumen,waterproofing,waterproofing,waterproofing,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1326: 1992,NON-CONIFEROUS  SAWN TIMBER,,material_standard,,timber,,NON-CONIFEROUS SAWN TIMBER,timber,,,timber,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1328: 1996,VENEERED DECORATIVE PLYWOOD,,product_standard,,board,plywood,plywood,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""], ""product_subtype"": [""title"", ""scope"", ""full_text_summary_heading""]}",RESOLVED_PRODUCT,False,
IS 13349: 1992,SINGLE FACED CAST IRON THIMBLE,SINGLE FACED CAST IRON THIMBLE MOUNTED SLUICE GATES 5. Materials – see Table 3 TABLE 3 MATERIALS,material_standard,,gate,,SINGLE FACED CAST IRON THIMBLE MOUNTED SLUICE GATES 5. Materials – see Table 3 TABLE 3 MATERIALS,cast iron,potable water supply,,hardware,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
