query_id,query,positive_standard,positive_title,product,description,style,specificity,source_fields,hard_negative_codes,review_status,review_notes
fcq_is_1003_part_1_2003_09,door frames for flooring,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door frames,flooring,alias,general_but_sufficient,product_aliases;application,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_10,doors for flooring,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,doors,flooring,alias,general_but_sufficient,product_aliases;application,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_2_1994_01,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS standard,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,window,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,product_only,specific,primary_subject,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_02,timber window,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,window,timber construction or composition,product_material,specific,canonical_product;material,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_03,window for door and window construction,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,window,for door and window construction,product_application,specific,canonical_product;application,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_04,timber window for door and window construction,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,window,timber product for door and window construction,material_application,specific,canonical_product;material;application,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_05,Supply window meeting Indian Standard requirements for door and window construction; timber,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,window,door and window construction; timber,tender_sentence,specific,canonical_product;application;material,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_06,Need the Indian Standard covering TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,window,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,natural_language,specific,title,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_07,"window, door and window construction",IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,window,door and window construction,boq_short,general_but_sufficient,canonical_product;application,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_08,ventilator for door and window construction,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,ventilator,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_09,ventilators for door and window construction,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,ventilators,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_1003_part_2_1994_10,windows for door and window construction,IS 1003 (Part 2): 1994,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,windows,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 1003 (Part 1): 2003;IS 4021: 1995;IS 15491: 2004;IS 8081: 1976,generated_from_metadata,
fcq_is_10124_part_10_1988_01,bend standard,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,bend,product_only,specific,product_subtype,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_02,pipe fitting required to carry potable water,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,required to carry potable water,product_function,specific,canonical_product;function,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_03,PVC pipe fitting,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,PVC construction or composition,product_material,specific,canonical_product;material,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_04,pipe fitting for potable water supply,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,for potable water supply,product_application,specific,canonical_product;application,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_05,bend to carry potable water,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,bend required to carry potable water,subtype_function,specific,product_subtype;function,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_06,PVC pipe fitting for potable water supply,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,PVC product for potable water supply,material_application,specific,canonical_product;material;application,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_07,bend for potable water supply,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,bend used for potable water supply,subtype_application,specific,product_subtype;application,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_08,Supply pipe fitting meeting Indian Standard requirements for potable water supply; carry potable water; PVC,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,potable water supply; carry potable water; PVC,tender_sentence,specific,canonical_product;application;function;material,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_09,Need the Indian Standard covering FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,natural_language,specific,title,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_10_1988_10,"pipe fitting, potable water supply",IS 10124 (Part 10): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 10 SPECIFIC REQUIREMENTS FOR 45O BENDS.,pipe fitting,potable water supply,boq_short,general_but_sufficient,canonical_product;application,IS 10124 (Part 11): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_11_1988_01,Need the Indian Standard covering FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 11 SPECIFIC REQUIREMENTS FOR 30O BENDS.,IS 10124 (Part 11): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 11 SPECIFIC REQUIREMENTS FOR 30O BENDS.,pipe fitting,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES. PART 11 SPECIFIC REQUIREMENTS FOR 30O BENDS.,natural_language,specific,title,IS 10124 (Part 10): 1988;IS 10124 (Part 12): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_12_1988_01,Need the Indian Standard covering FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES PART 12 SPECIFIC REQUIREMENTS FOR 22½O BENDS,IS 10124 (Part 12): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES PART 12 SPECIFIC REQUIREMENTS FOR 22½O BENDS,pipe fitting,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES PART 12 SPECIFIC REQUIREMENTS FOR 22½O BENDS,natural_language,specific,title,IS 10124 (Part 10): 1988;IS 10124 (Part 11): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_13_1988_01,Need the Indian Standard covering FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES PART 13 SPECIFIC REQUIREMENTS FOR 11¼O BENDS,IS 10124 (Part 13): 1988,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES PART 13 SPECIFIC REQUIREMENTS FOR 11¼O BENDS,pipe fitting,FABRICATED PVC FITTING FOR POTABLE WATER SUPPLIES PART 13 SPECIFIC REQUIREMENTS FOR 11¼O BENDS,natural_language,specific,title,IS 10124 (Part 10): 1988;IS 10124 (Part 11): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_2_1988_01,socket standard,IS 10124 (Part 2): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 2 SPECIFIC REQUIREMENTS FOR SOCKETS,pipe fitting,socket,product_only,specific,product_subtype,IS 10124 (Part 5): 1988;IS 10124 (Part 3): 1988;IS 7834: 1987;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_2_1988_02,socket to carry potable water,IS 10124 (Part 2): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 2 SPECIFIC REQUIREMENTS FOR SOCKETS,pipe fitting,socket required to carry potable water,subtype_function,specific,product_subtype;function,IS 10124 (Part 5): 1988;IS 10124 (Part 3): 1988;IS 7834: 1987;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_2_1988_03,socket for potable water supply,IS 10124 (Part 2): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 2 SPECIFIC REQUIREMENTS FOR SOCKETS,pipe fitting,socket used for potable water supply,subtype_application,specific,product_subtype;application,IS 10124 (Part 5): 1988;IS 10124 (Part 3): 1988;IS 7834: 1987;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_2_1988_04,Need the Indian Standard covering FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 2 SPECIFIC REQUIREMENTS FOR SOCKETS,IS 10124 (Part 2): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 2 SPECIFIC REQUIREMENTS FOR SOCKETS,pipe fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 2 SPECIFIC REQUIREMENTS FOR SOCKETS,natural_language,specific,title,IS 10124 (Part 5): 1988;IS 10124 (Part 3): 1988;IS 7834: 1987;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_3_1988_01,reducer standard,IS 10124 (Part 3): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 3 SPECIFIC REQUIREMENTS FOR STRAIGHT REDUCER,pipe fitting,reducer,product_only,specific,product_subtype,IS 10124 (Part 5): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_3_1988_02,reducer to carry potable water,IS 10124 (Part 3): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 3 SPECIFIC REQUIREMENTS FOR STRAIGHT REDUCER,pipe fitting,reducer required to carry potable water,subtype_function,specific,product_subtype;function,IS 10124 (Part 5): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_3_1988_03,reducer for potable water supply,IS 10124 (Part 3): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 3 SPECIFIC REQUIREMENTS FOR STRAIGHT REDUCER,pipe fitting,reducer used for potable water supply,subtype_application,specific,product_subtype;application,IS 10124 (Part 5): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_3_1988_04,Need the Indian Standard covering FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 3 SPECIFIC REQUIREMENTS FOR STRAIGHT REDUCER,IS 10124 (Part 3): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 3 SPECIFIC REQUIREMENTS FOR STRAIGHT REDUCER,pipe fitting,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 3 SPECIFIC REQUIREMENTS FOR STRAIGHT REDUCER,natural_language,specific,title,IS 10124 (Part 5): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_4_1988_01,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS standard,IS 10124 (Part 4): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,pipe fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,product_only,specific,primary_subject,IS 10124 (Part 5): 1988;IS 10124 (Part 7): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_4_1988_02,Need the Indian Standard covering FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,IS 10124 (Part 4): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,pipe fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,natural_language,specific,title,IS 10124 (Part 5): 1988;IS 10124 (Part 7): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_4_1988_03,bends for potable water supply,IS 10124 (Part 4): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,bends,potable water supply,alias,general_but_sufficient,product_aliases;application,IS 10124 (Part 5): 1988;IS 10124 (Part 7): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_4_1988_04,coupler for potable water supply,IS 10124 (Part 4): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,coupler,potable water supply,alias,general_but_sufficient,product_aliases;application,IS 10124 (Part 5): 1988;IS 10124 (Part 7): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_5_1988_01,tee standard,IS 10124 (Part 5): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 5 SPECIFIC REQUIREMENT FOR EQUAL TEES,pipe fitting,tee,product_only,specific,product_subtype,IS 10124 (Part 3): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_5_1988_02,tee to carry potable water,IS 10124 (Part 5): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 5 SPECIFIC REQUIREMENT FOR EQUAL TEES,pipe fitting,tee required to carry potable water,subtype_function,specific,product_subtype;function,IS 10124 (Part 3): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_5_1988_03,tee for potable water supply,IS 10124 (Part 5): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 5 SPECIFIC REQUIREMENT FOR EQUAL TEES,pipe fitting,tee used for potable water supply,subtype_application,specific,product_subtype;application,IS 10124 (Part 3): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_5_1988_04,Need the Indian Standard covering FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 5 SPECIFIC REQUIREMENT FOR EQUAL TEES,IS 10124 (Part 5): 1988,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 5 SPECIFIC REQUIREMENT FOR EQUAL TEES,pipe fitting,FABRICATED PVC FITTINGS FOR PORTABLE WATER SUPPLIES PART 5 SPECIFIC REQUIREMENT FOR EQUAL TEES,natural_language,specific,title,IS 10124 (Part 3): 1988;IS 10124 (Part 4): 1988;IS 8008 (Part 1): 2003;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_6_1988_01,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 6 SPECIFIC REQUIREMENTS FOR FLANGED TAIL PIECES WITH METTALLIC FLANGES standard,IS 10124 (Part 6): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 6 SPECIFIC REQUIREMENTS FOR FLANGED TAIL PIECES WITH METTALLIC FLANGES,pipe fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 6 SPECIFIC REQUIREMENTS FOR FLANGED TAIL PIECES WITH METTALLIC FLANGES,product_only,specific,primary_subject,IS 10124 (Part 4): 1988;IS 10124 (Part 3): 1988;IS 8008 (Part 7): 2003;IS 3951 (Part 2): 1975,generated_from_metadata,
fcq_is_10124_part_6_1988_02,Need the Indian Standard covering FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 6 SPECIFIC REQUIREMENTS FOR FLANGED TAIL PIECES WITH METTALLIC FLANGES,IS 10124 (Part 6): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 6 SPECIFIC REQUIREMENTS FOR FLANGED TAIL PIECES WITH METTALLIC FLANGES,pipe fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 6 SPECIFIC REQUIREMENTS FOR FLANGED TAIL PIECES WITH METTALLIC FLANGES,natural_language,specific,title,IS 10124 (Part 4): 1988;IS 10124 (Part 3): 1988;IS 8008 (Part 7): 2003;IS 3951 (Part 2): 1975,generated_from_metadata,
fcq_is_10124_part_7_1988_01,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 7 SPECIFIC REQUIREMENT FOR THREADED ADAPTERS standard,IS 10124 (Part 7): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 7 SPECIFIC REQUIREMENT FOR THREADED ADAPTERS,pipe fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 7 SPECIFIC REQUIREMENT FOR THREADED ADAPTERS,product_only,specific,primary_subject,IS 10124 (Part 4): 1988;IS 10124 (Part 5): 1988;IS 7834: 1987;IS 2556 (Part 2): 1994,generated_from_metadata,
fcq_is_10124_part_7_1988_02,Need the Indian Standard covering FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 7 SPECIFIC REQUIREMENT FOR THREADED ADAPTERS,IS 10124 (Part 7): 1988,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 7 SPECIFIC REQUIREMENT FOR THREADED ADAPTERS,pipe fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 7 SPECIFIC REQUIREMENT FOR THREADED ADAPTERS,natural_language,specific,title,IS 10124 (Part 4): 1988;IS 10124 (Part 5): 1988;IS 7834: 1987;IS 2556 (Part 2): 1994,generated_from_metadata,
